STATE,DESCRIPTION,TYPE,DATE
Ohio,Toledo,Primary election,2021-09-14
Ohio,Cleveland,Primary election,2021-09-14
Iowa,Des Moines municipal filing deadline,Ballot access,2021-09-16
Florida,Orlando municipal filing deadline,Ballot access,2021-09-17
Florida,Miami municipal filing deadline,Ballot access,2021-09-18
Maryland,Annapolis,Primary election,2021-09-21
Arizona,Tucson general write-in deadline,Ballot access,2021-09-23
Alaska,Juneau write-in filing deadline,Ballot access,2021-09-30
Alaska,Juneau,General election,2021-10-05
Alabama,Birmingham,General runoff election,2021-10-05
North Carolina,Raleigh,General election,2021-10-05
North Carolina,Greensboro,Primary election,2021-10-05
North Carolina,Durham,Primary election,2021-10-05
Louisiana,Baton Rouge City Court Section 2,Primary election,2021-10-09
Louisiana,New Orleans,Primary election,2021-10-09
North Carolina,Charlotte,Primary runoff election,2021-10-12
Arizona,Tucson,General election,2021-11-02
California,Riverside,General runoff election,2021-11-02
California,Los Angeles County,General election,2021-11-02
Colorado,Colorado,General election,2021-11-02
Florida,Orlando,General election,2021-11-02
Florida,St. Petersburg,General election,2021-11-02
Florida,Miami,General election,2021-11-02
Florida,Hialeah,Primary election,2021-11-02
Georgia,Atlanta,General election,2021-11-02
Iowa,Des Moines,General election,2021-11-02
Idaho,Boise,General election,2021-11-02
Kansas,Wichita,General election,2021-11-02
Kansas,Haysville Unified School District 261,General election,2021-11-02
Kansas,Goddard Unified School District 265,General election,2021-11-02
Kansas,Circle Unified School District 375,General election,2021-11-02
Kansas,Wichita Public Schools,General election,2021-11-02
Kansas,Topeka,General election,2021-11-02
Kansas,Maize Unified School District 266,General election,2021-11-02
Massachusetts,Boston,General election,2021-11-02
Maryland,Annapolis,General election,2021-11-02
Maine,Augusta,General election,2021-11-02
Maine,Maine,Special election,2021-11-02
Michigan,Michigan State Senate District 28,General election,2021-11-02
Michigan,Lansing,General election,2021-11-02
Michigan,Detroit,General election,2021-11-02
Michigan,Michigan State Senate District 8,General election,2021-11-02
Minnesota,Saint Paul Public Schools,General election,2021-11-02
Minnesota,Minneapolis,General election,2021-11-02
Minnesota,St. Paul,General election,2021-11-02
Minnesota,Anoka-Hennepin School District,General election,2021-11-02
Montana,Helena,General election,2021-11-02
North Carolina,Charlotte,General runoff election,2021-11-02
North Carolina,Durham,General election,2021-11-02
North Carolina,Charlotte-Mecklenburg Schools,General election,2021-11-02
North Carolina,Raleigh,General runoff election,2021-11-02
North Carolina,Greensboro,General election,2021-11-02
New Hampshire,Concord,General election,2021-11-02
New Jersey,New Jersey,General election,2021-11-02
New Mexico,Santa Fe,General election,2021-11-02
New Mexico,Bernalillo County,General election,2021-11-02
New Mexico,Albuquerque Public Schools,General election,2021-11-02
New York,New York,General election,2021-11-02
Ohio,Toledo Public Schools,General election,2021-11-02
Ohio,Westerville City School District,General election,2021-11-02
Ohio,Sylvania City School District,General election,2021-11-02
Ohio,Worthington Schools,General election,2021-11-02
Ohio,Euclid City School District,General election,2021-11-02
Ohio,Cleveland Metropolitan School District,General election,2021-11-02
Ohio,Gahanna-Jefferson City School District,General election,2021-11-02
Ohio,Hamilton Local School District,General election,2021-11-02
Ohio,Berea City School District,General election,2021-11-02
Ohio,Franklin County,General election,2021-11-02
Ohio,Canal Winchester Local School District,General election,2021-11-02
Ohio,Groveport-Madison Local School District,General election,2021-11-02
Ohio,Washington Local School District,General election,2021-11-02
Ohio,Columbus City Schools,General election,2021-11-02
Ohio,Olentangy Local School District,General election,2021-11-02
Ohio,Pickerington Local School District,General election,2021-11-02
Ohio,Cleveland,General election,2021-11-02
Ohio,South-Western City Schools,General election,2021-11-02
Ohio,Cincinnati Public Schools,General election,2021-11-02
Ohio,Hilliard City Schools,General election,2021-11-02
Ohio,Cincinnati,General election,2021-11-02
Ohio,New Albany-Plain Local School District,General election,2021-11-02
Ohio,Dublin City Schools,General election,2021-11-02
Ohio,Ohio,Special election,2021-11-02
Ohio,Maumee City School District,General election,2021-11-02
Ohio,Toledo,General election,2021-11-02
Pennsylvania,Pennsylvania,General election,2021-11-02
South Carolina,Columbia,General election,2021-11-02
Texas,Houston Independent School District,General election,2021-11-02
Texas,Harris County,General election,2021-11-02
Texas,Spring Independent School District,General election,2021-11-02
Texas,Klein Independent School District,General election,2021-11-02
Texas,Aldine Independent School District,General election,2021-11-02
Texas,Alief Independent School District,General election,2021-11-02
Texas,Lake Worth Independent School District,General election,2021-11-02
Utah,Salt Lake City,General election,2021-11-02
Virginia,Virginia,General election,2021-11-02
Washington,Washington,General election,2021-11-02
Louisiana,New Orleans,General election,2021-11-13
Louisiana,Baton Rouge City Court Section 2,General election,2021-11-13
Florida,Hialeah,General election,2021-11-16
Florida,Miami,General runoff election,2021-11-16
South Carolina,Columbia,General runoff election,2021-11-16
Georgia,Atlanta,General runoff election,2021-11-30
Iowa,Des Moines,General runoff election,2021-11-30
Florida,Orlando,General runoff election,2021-12-07
